object 1 1 346680
103 340 118 
755 510 567 
103 50 294 
982 280 763 
298 560 252 
710 50 559 
object 2 0 346680
298 560 178 
103 50 680 
103 340 397 
710 50 830 
755 510 574 
982 280 879 
object 3 0 412315
400 80 272 
300 800 659 
980 120 840 
710 620 732 
103 500 342 
130 210 50 
object 4 1 346680
298 560 430 
755 510 707 
103 50 116 
710 50 580 
982 280 850 
103 340 183 
object 5 1 346680
755 510 345 
982 280 616 
298 560 122 
710 50 549 
103 50 553 
103 340 350 
object 6 0 346680
755 510 743 
103 340 296 
710 50 898 
982 280 1021 
298 560 285 
103 50 580 
object 7 0 346680
103 50 748 
710 50 148 
298 560 718 
755 510 420 
982 280 223 
103 340 784 
object 8 0 412315
300 800 330 
710 620 690 
400 80 664 
103 500 150 
130 210 429 
980 120 1084 
object 9 1 310295
302 423 574 
503 521 501 
694 768 420 
10 664 468 
43 1003 298 
694 1023 354 
object 10 0 412315
710 620 316 
980 120 561 
130 210 1007 
400 80 863 
103 500 935 
300 800 730 
object 11 1 310295
302 423 315 
694 768 546 
694 1023 630 
503 521 394 
43 1003 322 
10 664 146 
object 12 1 412315
980 120 733 
710 620 217 
103 500 433 
130 210 594 
300 800 235 
400 80 603 
object 13 0 310295
694 1023 392 
10 664 622 
503 521 172 
694 768 146 
302 423 392 
43 1003 694 
object 14 1 454226
321 870 378 
1010 643 690 
321 127 365 
432 123 381 
567 1003 560 
970 280 668 
object 15 0 346680
755 510 390 
103 50 732 
103 340 487 
298 560 193 
982 280 707 
710 50 720 
object 16 0 412315
300 800 628 
980 120 875 
130 210 1096 
400 80 1039 
103 500 934 
710 620 416 
object 17 0 412315
103 500 784 
130 210 753 
400 80 540 
710 620 320 
980 120 247 
300 800 732 
object 18 1 310295
503 521 154 
694 768 215 
694 1023 398 
43 1003 562 
10 664 490 
302 423 320 
object 19 1 310295
43 1003 595 
302 423 550 
10 664 646 
694 1023 168 
694 768 124 
503 521 369 
object 20 1 412315
980 120 785 
103 500 214 
710 620 574 
130 210 142 
300 800 486 
400 80 300 
